mass_A
t	x	y
1.000000000E-2	-5.388091585E2	5.334877620E2
2.000000000E-2	-5.368858817E2	5.297346272E2
3.000000000E-2	-5.343520309E2	5.255098442E2
4.000000000E-2	-5.317845517E2	5.208182599E2
5.000000000E-2	-5.287347258E2	5.156735849E2
6.000000000E-2	-5.255265822E2	5.103838509E2
7.000000000E-2	-5.220393483E2	5.047321084E2
8.000000000E-2	-5.180482501E2	4.984511265E2
9.000000000E-2	-5.138417243E2	4.915457381E2
1.000000000E-1	-5.096271109E2	4.843115207E2
1.100000000E-1	-5.047796624E2	4.768497106E2
1.200000000E-1	-4.999159556E2	4.692230835E2
1.300000000E-1	-4.946906794E2	4.610610581E2
1.400000000E-1	-4.894097143E2	4.522580275E2
1.500000000E-1	-4.836777151E2	4.431821257E2
1.600000000E-1	-4.777109426E2	4.332896580E2
1.700000000E-1	-4.715917793E2	4.230344555E2
1.800000000E-1	-4.653310601E2	4.123020302E2
1.900000000E-1	-4.585958331E2	4.015508844E2
2.000000000E-1	-4.509020237E2	3.901849790E2
2.100000000E-1	-4.433623675E2	3.780774764E2
2.200000000E-1	-4.355702515E2	3.659498670E2
2.300000000E-1	-4.273603566E2	3.537239862E2
2.400000000E-1	-4.185462701E2	3.409437608E2
2.500000000E-1	-4.095484926E2	3.276921874E2
2.600000000E-1	-4.005510023E2	3.143695439E2
2.700000000E-1	-3.912277178E2	2.989626746E2
2.800000000E-1	-3.814319783E2	2.847755040E2
2.900000000E-1	-3.712447562E2	2.703437709E2
3.000000000E-1	-3.609257413E2	2.548763479E2
3.100000000E-1	-3.502289181E2	2.392095862E2
3.200000000E-1	-3.390558971E2	2.236259747E2
3.300000000E-1	-3.271494042E2	2.076200296E2
3.400000000E-1	-3.148991550E2	1.908120597E2
3.500000000E-1	-3.019586642E2	1.744933143E2
3.600000000E-1	-2.879429172E2	1.584868871E2
3.700000000E-1	-2.732645299E2	1.425417043E2
3.800000000E-1	-2.572804032E2	1.277123639E2
3.900000000E-1	-2.397905839E2	1.132764256E2
4.000000000E-1	-2.224245126E2	9.732253579E1
4.100000000E-1	-2.037790019E2	8.340934515E1
4.200000000E-1	-1.846045374E2	7.014573476E1
4.300000000E-1	-1.641714807E2	5.798402261E1
4.400000000E-1	-1.424179440E2	4.702095743E1
4.500000000E-1	-1.204030079E2	3.739280031E1
4.600000000E-1	-9.689161722E1	2.888088563E1
4.700000000E-1	-7.410369366E1	2.220432960E1
4.800000000E-1	-4.948686871E1	1.684320957E1
4.900000000E-1	-2.485374230E1	1.363836707E1
5.000000000E-1	-5.501819403E-2	1.285910413E1
5.100000000E-1	2.455954276E1	1.405244471E1
5.200000000E-1	4.872385431E1	1.729405808E1
5.300000000E-1	7.380341136E1	2.386452347E1
5.400000000E-1	9.619801384E1	3.082693773E1
5.500000000E-1	1.181793474E2	3.989315952E1
5.600000000E-1	1.390751774E2	5.037405919E1
5.700000000E-1	1.593471718E2	6.205476379E1
5.800000000E-1	1.783312514E2	7.498088208E1
5.900000000E-1	1.962380620E2	8.840463019E1
6.000000000E-1	2.137006488E2	1.023493986E2
6.100000000E-1	2.291592842E2	1.171133520E2
6.200000000E-1	2.438566930E2	1.325054178E2
6.300000000E-1	2.603816504E2	1.465045600E2
6.400000000E-1	2.744595429E2	1.614204358E2
6.500000000E-1	2.881292186E2	1.764388896E2
6.600000000E-1	3.010133534E2	1.912939033E2
6.700000000E-1	3.134932325E2	2.065088983E2
6.800000000E-1	3.250814971E2	2.213063272E2
6.900000000E-1	3.363318350E2	2.360389836E2
7.000000000E-1	3.467292422E2	2.504389337E2
7.100000000E-1	3.567759387E2	2.647019155E2
7.200000000E-1	3.664803598E2	2.781639453E2
7.300000000E-1	3.757761877E2	2.915378497E2
7.400000000E-1	3.838358850E2	3.057527227E2
7.500000000E-1	3.922273310E2	3.203004529E2
7.600000000E-1	3.999691567E2	3.316507741E2
7.700000000E-1	4.078553572E2	3.430783126E2
7.800000000E-1	4.159050823E2	3.544358688E2
7.900000000E-1	4.230883372E2	3.652755834E2
8.000000000E-1	4.299087495E2	3.760675196E2
8.100000000E-1	4.367003936E2	3.867345360E2
8.200000000E-1	4.430687310E2	3.970297058E2
8.300000000E-1	4.492445478E2	4.068113467E2
8.400000000E-1	4.549710460E2	4.161641742E2
8.500000000E-1	4.606950848E2	4.252137466E2
8.600000000E-1	4.659775363E2	4.335050250E2
8.700000000E-1	4.710011834E2	4.413681724E2
8.800000000E-1	4.760488788E2	4.491583370E2
8.900000000E-1	4.802892802E2	4.562792662E2
9.000000000E-1	4.847049719E2	4.632817743E2
9.100000000E-1	4.888618646E2	4.695304770E2
9.200000000E-1	4.928376030E2	4.753770625E2
9.300000000E-1	4.964648001E2	4.809877147E2
9.400000000E-1	4.993491012E2	4.863144216E2
9.500000000E-1	5.023398191E2	4.911318683E2
9.600000000E-1	5.049023213E2	4.954831673E2
9.700000000E-1	5.072321957E2	4.993465367E2
9.800000000E-1	5.091176593E2	5.026764331E2
9.900000000E-1	5.110748918E2	5.054474312E2
1.000000000E0	5.129681161E2	5.082098657E2
1.010000000E0	5.141365998E2	5.104246039E2
1.020000000E0	5.151760864E2	5.123043540E2
1.030000000E0	5.160017310E2	5.134819332E2
1.040000000E0	5.165443056E2	5.143643107E2
1.050000000E0	5.163561118E2	5.146012937E2
1.060000000E0	5.161382668E2	5.145098108E2
1.070000000E0	5.160383865E2	5.143700071E2
1.080000000E0	5.153919120E2	5.134653058E2
1.090000000E0	5.147198635E2	5.123995951E2
1.100000000E0	5.133829675E2	5.104613445E2
1.110000000E0	5.120841204E2	5.084306197E2
1.120000000E0	5.101560211E2	5.057760223E2
1.130000000E0	5.081947157E2	5.024497201E2
1.140000000E0	5.061249620E2	4.992371853E2
1.150000000E0	5.034732287E2	4.953313259E2
1.160000000E0	5.008268151E2	4.912954768E2
1.170000000E0	4.979783066E2	4.864334257E2
1.180000000E0	4.950209303E2	4.813115969E2
1.190000000E0	4.911148529E2	4.755534247E2
1.200000000E0	4.871121606E2	4.694151053E2
1.210000000E0	4.831751989E2	4.631314117E2
1.220000000E0	4.789016509E2	4.563492864E2
1.230000000E0	4.740861059E2	4.484280126E2
1.240000000E0	4.691380144E2	4.403348093E2
1.250000000E0	4.640073744E2	4.322312608E2
1.260000000E0	4.588166721E2	4.242081966E2
1.270000000E0	4.530056771E2	4.152695467E2
1.280000000E0	4.471291308E2	4.060433137E2
1.290000000E0	4.409699829E2	3.961250208E2
1.300000000E0	4.350232947E2	3.859122437E2
1.310000000E0	4.285665391E2	3.758551337E2
1.320000000E0	4.215426791E2	3.651718249E2
1.330000000E0	4.141484720E2	3.537542292E2
1.340000000E0	4.058502983E2	3.420001325E2
1.350000000E0	3.978670728E2	3.300688118E2
1.360000000E0	3.903728148E2	3.177694068E2
1.370000000E0	3.819800272E2	3.038443230E2
1.380000000E0	3.731132196E2	2.901279470E2
1.390000000E0	3.635732900E2	2.763514442E2
1.400000000E0	3.537815353E2	2.627232916E2
1.410000000E0	3.436805336E2	2.483700701E2
1.420000000E0	3.332966268E2	2.337886824E2
1.430000000E0	3.224559421E2	2.190199533E2
1.440000000E0	3.107404446E2	2.035337436E2
1.450000000E0	2.984510149E2	1.885358160E2
1.460000000E0	2.854072972E2	1.735395846E2
1.470000000E0	2.717780647E2	1.580642736E2
1.480000000E0	2.573779190E2	1.434247023E2
1.490000000E0	2.413534437E2	1.295887527E2
1.500000000E0	2.265729994E2	1.141531197E2
1.510000000E0	2.098157354E2	9.920334547E1
1.520000000E0	1.923821540E2	8.512903874E1
1.530000000E0	1.740853595E2	7.207804112E1
1.540000000E0	1.547785335E2	5.938829178E1
1.550000000E0	1.349090821E2	4.781539459E1
1.560000000E0	1.137851594E2	3.804458829E1
1.570000000E0	9.162140268E1	2.919541575E1
1.580000000E0	6.881586671E1	2.320929173E1
1.590000000E0	4.503480736E1	1.736539115E1
1.600000000E0	2.164767397E1	1.424787850E1
1.610000000E0	-2.552629669E0	1.310793030E1
1.620000000E0	-2.624305656E1	1.420315832E1
1.630000000E0	-4.960988843E1	1.714772179E1
1.640000000E0	-7.333505952E1	2.200439090E1
1.650000000E0	-9.502684278E1	2.843038264E1
1.660000000E0	-1.170479218E2	3.600112886E1
1.670000000E0	-1.377649237E2	4.497943903E1
1.680000000E0	-1.580107691E2	5.497822641E1
1.690000000E0	-1.771212546E2	6.605694941E1
1.700000000E0	-1.951577692E2	7.820086190E1
1.710000000E0	-2.127028086E2	9.075107457E1
1.720000000E0	-2.295477231E2	1.037656434E2
1.730000000E0	-2.447827738E2	1.174573316E2
1.740000000E0	-2.589167756E2	1.317031598E2
1.750000000E0	-2.736119717E2	1.452237756E2
